,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r1
471,4.71e-06,0.005075909,0.009953003,0.144476859,97.62,32.17881774902344
472,4.72e-06,0.004297484,0.008927029,0.123943207,97.63,31.318296432495117
473,4.73e-06,0.004759847,0.009431032,0.165789682,97.33,31.425554275512695
474,4.74e-06,0.007595987,0.01250603,0.15693428,97.32,32.184993743896484
475,4.75e-06,0.006622454,0.011546428,0.145091868,97.37,32.196678161621094
476,4.76e-06,0.005531685,0.010427543,0.136190348,97.62,32.07088851928711
477,4.77e-06,0.007441511,0.012740659,0.137825874,97.48,33.330657958984375
478,4.78e-06,0.00601368,0.011437016,0.149904493,97.61,33.68366241455078
479,4.79e-06,0.003357112,0.008473134,0.134274321,97.38,32.68123245239258
480,4.8e-06,0.009284137,0.014016772,0.136740367,97.48,31.40009117126465
481,4.81e-06,0.005649049,0.010447364,0.134391438,97.54,31.584341049194336
482,4.82e-06,0.006000357,0.010567016,0.118164538,97.8,30.780506134033203
483,4.83e-06,0.006028433,0.010686965,0.15251072,97.37,31.056392669677734
484,4.84e-06,0.007725451,0.012733371,0.133238974,97.69,32.16666030883789
485,4.85e-06,0.004862812,0.00962354,0.134555615,97.68,31.330392837524414
486,4.86e-06,0.005905049,0.01056426,0.13746209,97.61,30.9626407623291
487,4.87e-06,0.005697752,0.010591739,0.148693033,97.34,31.700557708740234
488,4.88e-06,0.005324966,0.01032317,0.132848509,97.6,32.00346755981445
489,4.89e-06,0.005307657,0.010165797,0.165088695,97.16,31.519594192504883
490,4.9e-06,0.005039523,0.01000283,0.130785904,97.68,31.826398849487305
491,4.91e-06,0.004478068,0.009232133,0.143555693,97.52,31.116575241088867
492,4.92e-06,0.005876772,0.010465914,0.133769605,97.35,30.540996551513672
493,4.93e-06,0.003915799,0.008651991,0.123633505,97.73,30.994970321655273
494,4.94e-06,0.006427549,0.011227748,0.151729159,97.33,31.172107696533203
495,4.95e-06,0.007047582,0.012001492,0.139399657,97.29,31.63526153564453
496,4.96e-06,0.004938204,0.009788414,0.135341416,97.55,31.270828247070312
497,4.97e-06,0.006582675,0.011196675,0.135886867,97.54,30.46916961669922
498,4.98e-06,0.004592386,0.009189063,0.149001809,97.41,30.381366729736328
499,4.99e-06,0.007877287,0.012766729,0.145981014,97.4,31.30252456665039
500,5e-06,0.006524889,0.011394061,0.136894636,97.44,31.20631980895996
