,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,r0
31,0.0062,0.386474081,1.287196828,0.363094736,90.98,94.693877551,97.885462555,88.372093023,87.227722772,93.890020367,81.278026906,94.363256785,88.715953307,91.683778234,90.188305253,11.9902982711792
32,0.0064,0.392390219,1.290879574,0.382078991,90.86,98.979591837,97.092511013,88.468992248,88.910891089,89.918533605,84.080717489,93.841336117,93.871595331,85.01026694,87.016848365,11.922987937927246
33,0.0066,0.400242232,1.32286213,0.368055943,91.17,97.244897959,96.916299559,87.30620155,90.693069307,90.32586558,85.762331839,91.544885177,91.828793774,86.344969199,92.467789891,11.73206901550293
34,0.0068,0.411025498,1.335916599,0.395201152,90.55,98.979591837,97.885462555,88.372093023,93.168316832,93.177189409,79.372197309,89.979123173,91.342412451,81.724845996,89.296333003,11.687874794006348
35,0.007,0.41458293,1.352489576,0.394679662,90.25,97.653061224,95.330396476,88.081395349,86.435643564,90.733197556,84.080717489,93.215031315,87.159533074,88.809034908,90.089197225,11.66327953338623
36,0.0072,0.421451819,1.387976343,0.408265102,90.01,98.469387755,96.387665198,90.600775194,86.930693069,90.122199593,76.457399103,90.709812109,93.093385214,86.447638604,88.602576809,11.528282165527344
37,0.0074,0.428517517,1.396003043,0.415061942,90.07,97.244897959,97.092511013,90.794573643,81.881188119,93.788187373,84.977578475,91.33611691,87.548638132,90.349075975,84.638255699,11.458094596862793
38,0.0076,0.434098534,1.410468919,0.433518099,89.82,97.040816327,95.066079295,85.755813953,82.277227723,92.057026477,84.865470852,91.440501044,85.408560311,94.455852156,89.296333003,11.385908126831055
39,0.0078,0.441594744,1.438983146,0.431857465,88.8,97.653061224,98.766519824,91.375968992,88.316831683,94.602851324,77.914798206,92.48434238,86.673151751,74.640657084,83.151635282,11.214101791381836
40,0.008,0.448014959,1.452455815,0.426919156,89.57,96.93877551,98.502202643,87.015503876,83.861386139,93.99185336,86.547085202,91.962421712,86.478599222,83.572895277,85.728444004,11.159675598144531
41,0.0082,0.454361775,1.471246295,0.429921252,89.98,97.755102041,97.533039648,86.627906977,88.316831683,90.936863544,77.35426009,89.352818372,92.898832685,85.934291581,90.782953419,11.06386661529541
42,0.0084,0.457693222,1.490269015,0.449698477,88.96,96.12244898,97.004405286,83.624031008,84.158415842,95.010183299,87.668161435,88.935281837,91.926070039,77.104722793,86.917740337,11.000332832336426
43,0.0086,0.467421709,1.503454534,0.445668044,88.94,96.428571429,98.678414097,86.821705426,82.871287129,93.584521385,80.717488789,93.528183716,93.871595331,78.439425051,82.457879088,10.983660697937012
44,0.0088,0.474865847,1.513415231,0.468911363,88.0,95.612244898,98.414096916,79.166666667,79.00990099,92.66802444,79.484304933,92.901878914,90.46692607,85.523613963,85.133795837,10.906328201293945
45,0.009,0.481179229,1.525582702,0.47077742,89.24,96.326530612,97.268722467,84.689922481,85.544554455,85.845213849,85.650224215,91.858037578,89.105058366,88.39835729,86.620416254,10.719685554504395
46,0.0092,0.489617418,1.541541032,0.488375647,88.01,95.816326531,98.414096916,78.875968992,85.148514851,91.038696538,86.771300448,90.501043841,90.369649805,80.082135524,81.962338949,10.708699226379395
47,0.0094,0.492935649,1.543557338,0.487968252,87.64,96.12244898,98.149779736,83.430232558,85.148514851,95.926680244,79.708520179,92.48434238,91.536964981,80.698151951,71.456888008,10.5803804397583
48,0.0096,0.499007632,1.582008804,0.461835514,89.16,97.653061224,98.061674009,84.302325581,86.138613861,87.780040733,79.372197309,93.110647182,92.217898833,85.112936345,85.926660059,10.590238571166992
49,0.0098,0.505239215,1.604170835,0.478877739,89.26,97.755102041,96.387665198,87.403100775,87.623762376,90.224032587,76.905829596,92.901878914,92.80155642,81.314168378,87.115956392,10.584868431091309
50,0.01,0.507242909,1.610398579,0.48395673,88.66,96.224489796,97.004405286,81.298449612,89.306930693,93.788187373,77.242152466,91.231732777,91.245136187,85.318275154,82.061446977,10.50109577178955
